date,store_nbr,family,sales,prediction_nb11,weighted_abs_error_nb11
2017-07-30,44,12,14472.0,13665.927,11665488.456000004
2017-08-10,40,3,5716.0,3692.4,11566897.6
2017-07-20,38,3,5087.0,2815.7607,11553794.319100002
2017-07-30,48,12,13970.0,13154.242,11396139.259999998
2017-07-24,27,12,5937.0,4017.5837,11395574.573099999
2017-08-14,54,3,5403.0,3303.583,11343150.050999999
2017-07-20,3,3,8479.0,7174.6494,11059588.737399997
2017-08-01,20,7,5195.0,3071.0605,11033865.7025
2017-07-19,45,12,10002.0,8900.658,11015622.684000006
2017-08-01,11,12,11133.969,10150.095,10954422.615905996
2017-08-15,30,3,4052.0,1349.6848,10949781.1904
2017-07-30,47,12,14800.0,14066.206,10860151.199999997
2017-08-11,31,3,5050.0,2905.518,10829634.1
2017-08-02,45,3,10317.0,9269.027,10811937.441
2017-07-22,38,3,5408.0,3410.3142,10803484.806400001
2017-07-20,46,12,8007.0,6675.0815,10664671.429499999
2017-07-30,20,7,5400.0,3429.3662,10641422.52
2017-07-30,29,3,5738.0,3890.268,10602286.216
2017-08-11,25,30,4266.269,1781.3922,10601152.8606592
2017-07-30,38,7,4145.0,1589.6041,10592116.0055
2017-07-28,52,30,6258.242,4584.785,10472898.882594002
2017-07-30,21,12,7775.234,6428.323,10472548.202174
2017-07-27,39,12,5882.719,4113.577,10407365.257097999
2017-07-23,20,12,8553.242,7337.9966,10394287.995586798
2017-07-28,46,12,9776.0,8717.697,10345970.127999999
2017-07-30,21,7,4708.0,2521.6123,10293513.291600002
2017-07-30,44,30,12653.657,11840.772,10285967.97044498
2017-08-11,44,12,9979.0,8960.475,10163860.974999996
2017-07-30,39,7,4817.0,2714.3523,10128453.9709
2017-07-31,48,12,10120.0,9124.888,10070533.439999992
2017-07-30,51,12,7897.0,6623.9224,10053493.807199998
2017-07-20,45,12,8964.0,7854.5703,9944927.830799997
2017-07-24,45,12,10864.0,9949.928,9930478.208
2017-08-01,36,12,6013.617,4364.809,9915299.818536
2017-07-28,20,7,3819.0,1237.9403,9857066.994299999
2017-08-11,25,12,4433.0,2216.4539,9825948.8613
2017-08-06,44,30,12913.622,12153.135,9820641.65391399
2017-08-14,28,12,6050.031,4429.582,9803766.683918998
2017-07-30,27,12,7080.0,5704.954,9735325.680000002
2017-07-31,45,3,10163.0,9241.819,9361962.503000004
2017-07-26,39,3,5356.0,3608.1821,9361312.6724
2017-08-11,46,3,6528.0,5094.786,9356020.991999999
2017-07-24,27,3,4850.0,2930.4617,9309760.755
2017-08-05,50,12,9006.0,7978.135,9256952.189999998
2017-08-02,45,30,9582.985,8623.168,9197911.91374501
2017-08-11,44,30,9311.46,8325.74,9178492.351199994
2017-07-30,3,30,9403.489,8433.978,9116786.023879003
2017-07-23,44,12,14397.0,13768.725,9045275.174999995
2017-07-29,50,12,9622.0,8683.916,9026244.248000007
2017-07-30,3,12,10361.0,9496.988,8952028.332000006
2017-07-27,31,7,3500.0,966.945,8865692.5
2017-07-21,45,12,11043.0,10243.809,8825466.213000007
2017-07-29,42,3,5286.0,3616.4478,8825252.929200001
2017-08-01,48,12,11274.0,10493.211,8802615.186000008
2017-08-10,47,12,8029.0,6941.377,8732525.066999996
2017-08-02,3,30,11352.238,10585.146,8708210.951895986
2017-07-22,30,3,3773.0,1470.4586,8687488.702200001
2017-07-19,44,12,9381.0,8462.311,8618221.509000003
2017-08-06,49,30,9181.79,8247.93,8574506.409400007
2017-08-06,45,12,15190.0,14634.829,8433047.490000004
2017-08-11,52,30,6163.229,4801.3374,8393649.8039764
2017-08-02,47,12,12263.0,11578.591,8392907.566999996
2017-08-01,9,7,4335.0,2405.8118,8363030.847
2017-08-15,47,12,9389.0,8509.568,8256987.048000007
2017-08-01,44,3,10808.0,10046.244,8233058.847999994
2017-08-03,14,7,4016.0,1978.093,8184234.512
2017-07-24,46,3,6945.0,5769.871,8161270.904999999
2017-07-28,40,7,3876.0,1770.901,8159363.724
2017-08-01,46,12,11574.0,10870.531,8141950.20599999
2017-08-10,20,3,4786.0,3089.78,8118108.919999999
2017-07-26,38,7,3320.0,890.0811,8067330.748000001
2017-07-20,39,3,4811.0,3135.7659,8059551.255100001
2017-08-07,40,12,7241.0,6128.331,8056836.228999999
2017-07-19,45,3,8947.0,8050.9404,8017045.241199996
2017-07-30,20,3,6866.0,5700.0176,8005635.158399999
2017-08-02,8,30,7376.513,6300.953,7933882.322279996
2017-08-11,47,3,8792.0,7898.08,7859344.640000001
2017-08-11,44,3,9517.0,8693.954,7832928.782000002
2017-08-11,28,12,5148.172,3641.9111,7754490.190074798
2017-08-02,41,3,4794.0,3182.8225,7723984.934999999
2017-07-30,11,12,8906.852,8040.132,7719746.765440011
2017-08-10,43,3,5230.0,3755.3071,7712643.867
2017-07-25,31,3,4297.0,2504.7114,7701464.1142
2017-07-24,43,12,5847.266,4538.9824,7649882.212637598
2017-07-28,40,12,5858.0,4555.0493,7632685.200600002
2017-07-30,51,30,6757.23,5636.636,7572111.394619994
2017-07-22,25,3,4230.0,2444.7537,7551591.848999999
2017-07-30,51,3,7150.0,6095.129,7542327.65
2017-08-12,20,3,6375.0,5200.583,7486908.375000003
2017-07-20,47,3,7622.0,6645.573,7442326.593999998
2017-07-24,11,12,6874.531,5793.948,7428501.331572997
2017-07-27,48,12,6437.0,5285.508,7412154.004000002
2017-07-24,51,12,6409.0,5256.2905,7387715.1855
2017-07-25,17,12,5446.0,4091.9968,7373901.427200001
2017-07-22,41,3,4829.0,3304.0452,7364006.7292
2017-07-21,44,12,10264.0,9550.704,7321270.144000003
2017-07-28,3,3,8848.0,8023.3564,7296446.572800003
2017-07-22,43,3,6410.0,5272.1787,7293434.532999998
2017-08-11,52,3,5644.0,4354.3877,7278571.821199999
2017-08-11,45,30,7112.925,6090.563,7271984.228850001
2017-07-30,27,3,6195.0,5022.849,7261475.444999999
2017-07-28,52,12,6782.0,5726.2744,7159931.019199998
2017-07-31,20,7,4508.0,2924.2432,7139575.6544
2017-08-01,9,12,9823.43,9103.045,7076651.620550002
2017-08-02,45,12,12494.0,11928.36,7067106.159999993
2017-07-26,45,12,9472.0,8726.813,7058411.263999999
2017-08-13,43,12,6367.102,5260.4297,7046295.414674601
2017-07-30,12,7,3355.0,1263.6167,7016590.9715
2017-07-31,49,30,8505.368,7686.0073,6968964.278237602
2017-07-30,21,3,5746.0,4536.7466,6948370.036399998
2017-08-01,31,12,6847.32,5839.452,6901194.713759996
2017-07-28,49,3,7536.0,6624.396,6869847.744000002
2017-07-23,52,12,8568.0,7766.492,6867320.543999999
2017-07-23,3,30,9825.017,9128.106,6847162.422487
2017-08-11,28,3,4471.0,2942.8896,6832181.5984000005
2017-08-01,3,3,8192.0,7359.371,6820896.767999999
2017-08-11,45,3,8983.0,8226.102,6799214.733999993
2017-07-19,44,3,9559.0,8851.796,6760163.0359999975
2017-07-28,47,12,10003.0,9327.935,6752675.195000005
2017-07-24,45,3,8926.0,8175.745,6696776.130000001
2017-07-20,41,3,4108.0,2485.4912,6665266.150400001
2017-07-25,50,12,6585.0,5574.6206,6653348.3489999985
2017-08-13,45,12,12723.0,12202.318,6624637.0860000085
2017-08-01,44,12,10941.0,10336.591,6612838.868999996
2017-07-26,49,30,10148.009,9498.553,6590685.333104001
2017-07-31,37,3,4522.0,3069.7588,6567034.7064
2017-07-25,39,3,5071.0,3787.8164,6507024.035599999
2017-07-24,46,12,9023.0,8307.223,6458455.871
2017-07-30,46,3,11172.0,10597.043,6423419.604000004
2017-07-27,45,3,7308.0,6437.951,6358318.092
2017-07-22,46,3,9368.0,8692.103,6331803.096000008
2017-08-11,50,12,6808.0,5881.437,6308040.904000001
2017-08-01,36,30,3316.416,1416.1049,6302222.137017601
2017-08-10,39,12,5442.25,4284.541,6300541.805249999
2017-07-29,44,30,11811.585,11278.493,6296661.470819985
2017-07-29,36,12,5377.586,4212.0083,6267994.321432199
2017-07-30,16,7,3087.0,1064.4589,6243584.3757
2017-08-02,13,12,4387.0,2965.4355,6236403.4615
2017-07-24,3,3,8633.0,7910.6406,6236128.700200003
2017-08-10,44,3,7595.0,6779.072,6196973.159999999
2017-07-30,43,12,6751.586,5841.964,6141391.160492002
2017-08-02,52,12,7195.0,6344.0576,6122530.567999999
2017-08-02,44,30,14145.908,13713.637,6114865.797067983
2017-07-22,50,12,8404.0,7680.423,6080941.108000002
2017-07-24,28,3,4276.0,2858.8125,6059893.75
2017-07-29,14,7,3409.0,1645.7429,6010943.4539
2017-07-29,45,3,12346.0,11864.866,5940080.364
2017-08-15,45,12,9287.0,8650.558,5910636.853999992
2017-08-13,21,12,6738.984,5868.173,5868381.396024005
2017-07-29,9,12,7861.719,7124.677,5794417.095198003
2017-08-06,31,3,5854.0,4865.327,5787691.741999999
2017-07-20,39,12,5306.867,4222.7617,5753202.641095101
2017-07-29,14,12,4736.0,3535.5203,5685471.859199999
2017-07-22,46,12,12313.0,11851.616,5681021.192
2017-07-29,50,3,7307.0,6530.097,5676830.221000002
2017-07-24,49,3,7493.0,6735.839,5673407.373000001
2017-08-14,3,30,7941.873,7228.438,5666010.163754996
2017-07-30,28,3,5856.0,4889.712,5658582.527999997
2017-07-19,3,12,8256.0,7571.01,5655277.439999999
2017-07-30,45,30,9001.436,8373.286,5654252.023399997
2017-08-10,50,12,5727.0,4746.578,5614876.793999998
2017-07-25,43,3,5915.0,4976.6826,5550147.420999999
2017-08-09,52,30,7873.919,7169.13,5549451.498090998
2017-08-04,4,12,4501.0,3272.3608,5530105.0392
2017-07-24,47,7,3694.0,2207.1824,5492304.214399999
2017-07-19,37,3,4245.0,2954.642,5477569.710000001
2017-07-28,8,3,5354.0,4337.0947,5444510.976200002
2017-08-01,20,12,7641.75,6931.547,5427193.775250004
2017-07-23,50,12,9340.0,8759.502,5421851.319999997
2017-08-02,50,12,7970.0,7292.9526,5396067.778000003
2017-08-15,54,3,4332.0,3087.9988,5389013.198400001
2017-08-02,14,12,4439.0,3226.62,5381754.82
2017-07-24,51,3,5260.0,4237.7285,5377148.089999999
2017-07-29,47,3,12405.0,11971.576,5376624.720000011
2017-07-20,40,3,4998.0,3928.1511,5347104.8022
2017-08-04,36,3,4593.0,3431.2983,5335695.908100001
2017-08-03,20,12,6725.555,5933.2227,5328874.4619265
2017-08-10,11,12,6679.977,5882.686,5325885.542307001
2017-07-27,40,7,2920.0,1116.0106,5267649.0479999995
2017-08-10,52,12,5377.0,4399.167,5257808.040999998
2017-07-31,46,12,11039.0,10563.611,5247819.170999992
2017-08-08,39,12,6052.422,5186.5654,5240529.5346851945
2017-07-31,3,30,8316.788,7687.693,5232049.746860002
2017-07-29,20,3,5281.0,4292.5264,5220129.081600001
2017-08-11,51,3,5356.0,4382.3477,5214881.718799999
2017-07-23,41,7,3381.0,1856.5116,5154295.2804
2017-07-31,13,7,2930.0,1171.5393,5152289.851000001
2017-07-28,50,12,7084.0,6358.3315,5140635.653999998
2017-07-27,43,3,4741.0,3658.8213,5130609.2167
2017-07-30,36,3,4783.0,3724.3438,5063552.604599999
2017-07-28,44,3,10013.0,9507.737,5059198.419000008
2017-07-23,44,30,13070.116,12683.768,5049613.176367999
2017-08-04,31,12,5513.344,4601.448,5027596.340223999
2017-07-28,39,12,5603.711,4707.648,5021278.089793
2017-08-02,52,30,8154.466,7540.752,5004509.946723999
2017-07-21,47,3,9357.0,8822.55,5000848.650000007
2017-08-08,11,3,4858.0,3830.8335,4989974.856999999
2017-08-01,52,3,5390.0,4468.127,4968895.469999998
2017-08-06,49,3,8989.0,8437.305,4959186.354999998
2017-08-11,27,12,4149.0,2953.9988,4958059.978800001
2017-08-15,40,7,3112.0,1520.1448,4953853.3824
2017-08-04,39,12,6486.227,5722.635,4952831.047383998
2017-08-02,11,12,10013.141,9519.269,4945209.971951994
2017-08-10,45,12,8044.0,7429.79,4940705.24
2017-07-29,19,12,5770.0,4915.741,4929074.43
2017-08-14,11,12,7380.539,6714.1807,4918083.421123699
2017-08-15,9,12,6630.383,5890.3315,4906824.884724497
2017-08-10,49,3,5531.0,4649.4004,4876127.387599997
2017-07-28,21,7,3498.0,2104.3335,4875045.416999999
2017-08-04,52,12,6638.0,5908.947,4839453.813999999
2017-07-22,30,12,3418.0,2006.8586,4823281.3052
2017-08-10,34,12,4334.188,3235.4128,4762298.286537601
2017-07-19,11,12,6588.984,5873.102,4716935.043888004
2017-08-04,20,12,6811.906,6122.226,4698035.330080002
2017-08-14,45,30,6380.623,5647.722,4676364.977322998
2017-07-24,48,12,7808.0,7214.605,4633228.160000004
2017-08-10,25,3,3123.0,1643.0178,4621984.4106
2017-07-24,49,30,7814.31,7223.996,4612896.593340003
2017-08-08,45,12,8693.0,8162.586,4610888.901999998
2017-08-13,20,12,7443.273,6824.4375,4606161.568591502
2017-08-01,29,12,5728.578,4932.89,4558160.771664001
2017-07-30,49,30,8746.156,8224.995,4558155.407116001
2017-07-27,46,12,7063.0,6419.614,4544235.318000003
2017-08-11,48,3,4907.0,3988.8113,4505551.9509000005
2017-07-19,51,30,8453.711,7923.233,4484507.703857993
2017-07-24,29,3,3701.0,2491.4321,4476610.7979
2017-08-07,43,3,5771.0,5000.627,4445822.582999998
2017-08-01,3,12,8229.0,7690.6113,4430400.612300004
2017-08-07,43,12,5868.57,5114.376,4426040.282579997
2017-08-05,51,3,6134.0,5417.1646,4397068.343599999
2017-07-27,50,12,5792.0,5035.6167,4380972.073600003
2017-08-04,45,12,11562.0,11185.998,4347335.1240000045
2017-07-30,46,7,5087.0,4237.21,4322881.7299999995
2017-08-14,7,30,5838.443,5098.8516,4318062.232190202
2017-08-10,40,12,5481.0,4694.793,4309200.567000002
2017-08-15,54,12,4235.0,3218.8623,4303343.159500001
2017-08-01,30,7,2544.0,853.1388,4301550.8928000005
2017-07-27,44,3,7400.0,6820.4365,4288769.900000001
2017-07-25,51,30,5081.281,4237.917,4285369.469283998
2017-07-27,9,12,5172.547,4346.7593,4271425.690271899
2017-07-23,41,12,6423.0,5758.013,4271211.501
2017-07-27,45,12,8061.0,7531.443,4268758.976999998
2017-08-07,52,12,5829.0,5097.1006,4266241.602600002
2017-08-11,51,12,5483.0,4707.672,4251123.424000002
2017-08-11,27,3,3480.0,2259.1824,4248445.248
2017-08-14,39,3,4419.0,3459.4128,4240415.8368
2017-07-28,52,3,5304.0,4504.947,4238177.112
2017-07-20,20,12,5058.82,4222.212,4232249.2825599965
2017-07-29,24,3,4912.0,4053.1846,4218501.2447999995
2017-07-22,3,3,11080.0,10708.881,4111998.5200000065
2017-08-01,36,3,4359.0,3416.6016,4107914.6256000004
2017-08-15,30,12,3306.0,2068.0261,4092741.7134
2017-08-14,20,12,6295.133,5646.233,4084911.8036999977
2017-07-28,46,3,6318.0,5671.8013,4082683.3865999994
2017-07-24,46,8,2788.0,1325.4537,4077579.0844
2017-07-28,11,3,4940.0,4115.2812,4074110.871999998
2017-08-01,49,30,8002.368,7494.17,4066787.412864003
2017-08-08,44,12,8201.0,7705.824,4060938.376000003
2017-07-28,50,3,5287.0,4519.178,4059474.914000001
2017-08-02,7,30,7296.731,6740.413,4059302.7964580012
2017-07-30,50,3,7726.0,7201.138,4055083.812000001
2017-07-23,54,3,8113.0,7615.1396,4039141.4251999967
2017-07-29,34,12,5467.102,4732.079,4018445.7133460008
2017-08-10,22,12,3444.0,2277.6377,4016951.761199999
2017-08-02,40,12,6877.0,6294.282,4007351.685999999
2017-08-01,33,12,4725.0,3881.46,3985726.5
2017-07-21,45,3,9610.0,9197.992,3959396.879999998
2017-08-11,49,12,7680.0,7164.8384,3956441.088000003
2017-07-23,45,30,9144.462,8713.22,3943476.0818040017
2017-07-24,29,12,4389.43,3493.7708,3931433.3622560026
2017-07-29,48,12,11261.0,10914.521,3901700.018999993
2017-07-25,45,12,9052.0,8620.996,3901448.2080000076
2017-08-14,44,30,8735.741,8290.328,3891012.606033004
2017-07-28,3,12,8176.0,7702.4214,3871978.6335999984
2017-08-11,51,30,5941.01,5290.453,3864965.6425699987
2017-07-24,42,3,3792.0,2773.9614,3860402.3711999995
2017-07-19,42,3,3581.0,2508.1794,3841770.5686
2017-07-19,6,12,4974.0,4201.71,3841370.46
2017-08-02,36,3,4503.0,3650.8901,3837050.8796999995
2017-07-29,12,7,2641.0,1188.4318,3836232.6162
2017-08-10,11,3,4596.0,3761.7278,3834315.0311999996
2017-08-11,41,12,3970.0,3004.3845,3833493.5349999997
2017-08-13,44,30,11201.803,10859.735,3831778.3486039923
2017-08-14,47,30,5660.061,4988.4624,3801289.0435145963
2017-07-19,49,12,7949.0,7470.96,3799939.9599999995
2017-07-21,48,12,7583.0,7087.176,3759833.391999997
2017-07-29,6,12,6050.0,5429.027,3756886.65
2017-08-14,39,12,5761.375,5111.7964,3742465.906574999
2017-07-27,16,7,2206.0,509.8144,3741785.4336
2017-07-27,10,7,2212.0,522.8475,3736405.3300000005
2017-07-26,42,3,3692.0,2680.7605,3733496.2340000006
2017-07-30,36,12,5298.992,4595.208,3729345.785728003
2017-08-01,28,30,3717.265,2715.0125,3725638.1394125
2017-08-06,4,12,5154.0,4431.8325,3722051.2949999976
2017-08-11,47,30,5680.758,5027.3906,3711622.0844892003
2017-08-03,30,12,3520.0,2468.8235,3700141.2800000003
2017-07-26,40,3,4032.0,3117.9028,3685639.9104000004
2017-07-24,44,12,9370.0,8977.981,3673218.030000002
2017-08-11,21,12,4322.703,3476.601,3657447.6537060016
2017-07-23,50,3,7350.0,6852.5645,3656150.924999997
2017-07-24,6,12,5252.0,4557.6807,3646564.9636000004
2017-07-28,47,3,8922.0,8513.755,3642361.890000007
2017-08-15,3,30,7265.289,6765.6553,3629983.2246392956
2017-08-08,21,3,4133.0,3256.5955,3622179.7985000005
2017-07-29,20,12,7476.875,6993.675,3612825.9999999986
2017-08-11,36,3,4643.0,3867.2095,3601995.2915000003
2017-08-02,11,3,5351.0,4679.0034,3595853.806600002
2017-08-11,11,3,5182.0,4488.2437,3595045.1466
2017-07-28,19,3,3306.0,2221.7737,3584452.1477999995
2017-08-02,32,7,2598.0,1218.6754,3583485.3107999996
2017-08-11,9,12,5882.578,5274.9424,3574463.8125768034
2017-07-24,21,3,3650.0,2672.5002,3567874.27
2017-08-06,43,12,6556.031,6012.3184,3564596.660690599
2017-07-25,37,12,4365.0,3549.314,3560469.3900000006
2017-07-25,22,12,3242.0,2144.0151,3559667.0458
2017-08-01,49,12,9366.0,8987.605,3544047.570000004
2017-07-31,39,12,6493.766,5950.4946,3527877.3460923973
2017-08-02,24,30,6222.76,5656.0337,3526601.7505880017
2017-08-09,45,12,9345.0,8967.936,3523663.080000003
2017-07-27,34,12,3830.203,2913.4097,3511504.448039899
2017-08-01,18,12,4378.32,3581.836,3487261.8268799996
2017-08-11,3,12,7727.0,7277.724,3471555.651999999
2017-07-28,12,7,2246.0,700.5511,3471078.2293999996
2017-07-24,27,30,3369.566,2345.2842,3451385.127698799
2017-07-31,47,3,9051.0,8669.711,3451046.739000006
2017-08-05,8,3,6347.0,5803.429,3450045.1369999996
2017-07-31,9,7,2858.0,1650.8866,3449930.0971999997
2017-08-15,32,12,3013.0,1872.9529,3434961.9123
2017-07-31,10,7,2577.0,1246.117,3429685.491
2017-07-31,9,12,7676.711,7230.4697,3425665.496364305
2017-07-21,37,3,4129.0,3300.8328,3419502.3687999994
2017-07-23,35,12,3231.0,2173.6543,3416283.9566999995
2017-07-31,39,7,4572.0,3827.948,3401805.7440000004
2017-08-09,52,12,5783.0,5197.866,3383829.9220000003
2017-08-14,43,3,5794.0,5211.6367,3374212.9602
2017-08-11,29,3,3695.0,2782.4302,3371945.411000001
2017-08-04,43,12,5389.0,4764.493,3365468.222999998
2017-08-15,29,12,4566.328,3832.647,3350228.0933680027
2017-07-20,50,12,6009.0,5452.375,3344759.625
2017-07-25,9,12,5481.672,4871.58,3344324.233823998
2017-07-19,47,12,9060.0,8697.837,3281196.780000004
2017-07-24,54,3,3868.0,3021.7466,3273308.1512
2017-08-08,29,3,3681.0,2795.7505,3258603.4094999996
2017-08-01,26,12,3132.0,2093.1284,3253745.8512
2017-08-07,9,3,4597.0,3890.3396,3248517.858800001
2017-08-15,14,12,3789.0,2932.917,3243698.487
2017-08-02,9,12,8357.344,7969.611,3240418.0611519935
2017-07-19,24,12,4800.0,4127.67,3227183.9999999995
2017-08-06,47,30,8054.336,7654.4214,3221046.5597056006
2017-07-29,52,30,6185.649,5666.8496,3209110.989810605
2017-08-01,9,3,4817.0,4152.978,3198593.9739999995
2017-07-27,31,12,4061.227,3274.552,3194865.7502249987
2017-07-24,3,30,7673.989,7258.6226,3187517.184569599
2017-07-28,36,3,3574.0,2682.412,3186535.5120000006
2017-07-29,49,3,8684.0,8318.105,3177432.180000004
2017-07-23,14,12,3132.0,2118.5293,3174190.2323999996
2017-08-02,14,3,2743.0,1586.1727,3173177.2838999997
2017-07-26,16,12,2984.0,1921.4565,3170629.804
2017-08-02,40,3,5640.0,5077.9697,3169850.892000002
2017-07-20,47,30,4969.703,4332.8574,3164933.488856803
2017-08-09,36,3,4250.0,3505.9773,3162096.475
2017-07-26,47,12,8963.0,8611.3545,3151798.6165000047
2017-08-15,11,5,2080.0,578.73193,3122637.5856000003
2017-08-01,21,7,3399.0,2486.6929,3100931.8329
2017-08-04,21,3,3541.0,2678.1196,3055459.4964
2017-08-10,47,3,6281.0,5795.665,3048389.1350000002
2017-08-10,20,12,4944.68,4334.503,3017130.008360003
2017-07-30,38,12,5668.0,5135.8037,3016488.628399998
2017-07-25,40,12,4905.0,4295.664,2988793.080000001
2017-08-08,36,3,4079.0,3348.209,2980896.4890000005
2017-08-06,29,3,5537.0,4999.7505,2974750.4814999993
2017-07-21,3,12,8306.0,7948.76,2967235.439999998
2017-07-19,8,12,5291.0,4732.2144,2956534.609600001
2017-08-04,11,12,8876.523,8545.154,2941404.549986989
2017-07-31,12,7,2864.0,1843.0073,2924123.0928
2017-07-28,14,12,3393.0,2544.0586,2880458.1702000005
2017-08-06,53,3,3844.0,3094.9778,2879241.3367999997
2017-08-11,21,3,3568.0,2763.3228,2871088.2496
2017-07-27,30,7,1898.0,385.5142,2870698.0483999997
2017-07-31,54,12,4536.0,3905.3306,2860716.398400001
2017-08-12,54,12,4161.0,3473.6694,2859982.626599999
2017-08-15,51,30,5031.19,4465.6626,2845275.7996059996
2017-07-19,17,12,4398.0,3751.46,2843482.92
2017-07-28,10,7,2291.0,1052.3728,2837694.9151999997
2017-08-14,3,3,7859.0,7499.332,2826630.8119999976
2017-08-02,48,12,9945.0,9660.793,2826438.6150000035
2017-07-30,34,12,4913.039,4342.207,2804519.878447997
2017-07-30,6,3,5809.0,5326.866,2800716.406
2017-07-25,9,3,3345.0,2512.1365,2785928.4074999997
2017-07-23,52,3,6604.0,6184.38,2771170.479999999
2017-07-19,49,3,6452.0,6023.4634,2764918.143200002
2017-07-23,46,7,4127.0,3458.3079,2759692.2967000008
2017-07-19,47,3,7526.0,7159.6274,2757320.1875999975
2017-07-27,3,30,5966.548,5504.692,2755685.9930879986
2017-07-21,41,7,2310.0,1117.8074,2753964.9060000004
