date,store_nbr,family,sales,prediction_nb11,weighted_abs_error_nb11
2017-07-28,39,7,4822.0,1921.5925,13985764.965000002
2017-07-29,52,3,7592.0,5752.384,13966364.672
2017-07-21,54,3,5262.0,2626.6797,13867055.418599999
2017-08-03,44,12,8419.0,10054.931,13772903.089000003
2017-07-22,45,3,11341.0,12549.553,13706199.572999999
2017-07-24,28,12,6119.406,3923.2961,13438888.0987194
2017-08-04,11,3,7066.0,5168.463,13407996.442000002
2017-08-01,47,12,12456.0,11382.441,13372250.903999992
2017-07-27,14,7,4042.0,760.77625,13262706.3975
2017-08-03,46,12,8086.0,9714.945,13171649.269999998
2017-07-30,14,7,4509.0,1633.3303,12966394.6773
2017-08-06,28,3,7153.0,5372.616,12735086.752
2017-08-11,47,12,10297.0,9065.43,12681476.289999997
2017-08-09,44,30,11384.693,12496.871,12661805.091353998
2017-08-15,40,3,6845.0,5004.278,12599742.089999998
2017-07-29,45,12,13750.0,12844.94,12444574.999999993
2017-08-13,44,3,10491.0,11669.57,12364377.869999997
2017-07-21,11,3,6251.0,4287.2573,12275355.6177
2017-07-28,45,12,11241.0,10160.902,12141381.617999999
2017-08-10,54,3,4686.0,2119.8865,12024807.861
2017-08-01,47,3,8636.0,10027.305,12015309.980000002
2017-08-14,40,3,6386.0,4508.8403,11987541.8442
2017-07-23,47,3,14933.0,14136.817,11889400.739000013
2017-07-28,11,12,7299.141,5675.796,11849024.046644995
2017-08-12,20,12,5129.797,7428.1206,11789933.508309202
2017-08-11,40,12,6948.0,5263.3213,11705147.607600003
2017-07-30,44,12,14472.0,13665.927,11665488.456000004
2017-08-10,40,3,5716.0,3692.4,11566897.6
2017-07-20,38,3,5087.0,2815.7607,11553794.319100002
2017-08-14,44,3,7322.0,8892.792,11501339.023999996
2017-07-30,48,12,13970.0,13154.242,11396139.259999998
2017-07-24,27,12,5937.0,4017.5837,11395574.573099999
2017-08-14,54,3,5403.0,3303.583,11343150.050999999
2017-08-13,40,12,5364.0,7464.464,11266888.896
2017-07-20,3,3,8479.0,7174.6494,11059588.737399997
2017-08-01,20,7,5195.0,3071.0605,11033865.7025
2017-07-19,45,12,10002.0,8900.658,11015622.684000006
2017-08-13,46,12,10557.0,11598.119,10991093.283000005
2017-08-01,11,12,11133.969,10150.095,10954422.615905996
2017-08-15,30,3,4052.0,1349.6848,10949781.1904
2017-08-12,44,30,9153.445,10347.69,10931455.924025007
2017-08-12,46,3,5900.0,7751.637,10924658.299999999
2017-07-30,47,12,14800.0,14066.206,10860151.199999997
2017-08-11,31,3,5050.0,2905.518,10829634.1
2017-08-02,45,3,10317.0,9269.027,10811937.441
2017-08-05,40,3,5582.0,7518.415,10809068.53
2017-07-22,38,3,5408.0,3410.3142,10803484.806400001
2017-07-20,46,12,8007.0,6675.0815,10664671.429499999
2017-07-30,20,7,5400.0,3429.3662,10641422.52
2017-07-30,29,3,5738.0,3890.268,10602286.216
2017-08-11,25,30,4266.269,1781.3922,10601152.8606592
2017-07-30,38,7,4145.0,1589.6041,10592116.0055
2017-08-12,3,3,7685.0,9055.295,10530717.075000001
2017-08-05,43,3,5079.0,7143.899,10487622.021000002
2017-07-28,52,30,6258.242,4584.785,10472898.882594002
2017-07-30,21,12,7775.234,6428.323,10472548.202174
2017-07-27,39,12,5882.719,4113.577,10407365.257097999
2017-07-23,20,12,8553.242,7337.9966,10394287.995586798
2017-07-28,46,12,9776.0,8717.697,10345970.127999999
2017-07-30,21,7,4708.0,2521.6123,10293513.291600002
2017-07-30,44,30,12653.657,11840.772,10285967.97044498
2017-08-11,44,12,9979.0,8960.475,10163860.974999996
2017-07-30,39,7,4817.0,2714.3523,10128453.9709
2017-07-31,48,12,10120.0,9124.888,10070533.439999992
2017-07-30,51,12,7897.0,6623.9224,10053493.807199998
2017-08-04,46,12,8728.0,9878.145,10038465.560000004
2017-07-20,45,12,8964.0,7854.5703,9944927.830799997
2017-07-24,45,12,10864.0,9949.928,9930478.208
2017-08-01,36,12,6013.617,4364.809,9915299.818536
2017-07-28,20,7,3819.0,1237.9403,9857066.994299999
2017-08-11,25,12,4433.0,2216.4539,9825948.8613
2017-08-06,44,30,12913.622,12153.135,9820641.65391399
2017-08-14,28,12,6050.031,4429.582,9803766.683918998
2017-07-30,27,12,7080.0,5704.954,9735325.680000002
2017-07-26,44,30,11827.345,12629.887,9491941.110990014
2017-07-31,3,12,7491.0,8750.79,9437086.890000006
2017-08-06,46,3,9042.0,10078.784,9374600.927999998
2017-07-31,45,3,10163.0,9241.819,9361962.503000004
2017-07-26,39,3,5356.0,3608.1821,9361312.6724
2017-08-11,46,3,6528.0,5094.786,9356020.991999999
2017-08-05,49,12,8410.0,9518.795,9324965.950000001
2017-07-24,27,3,4850.0,2930.4617,9309760.755
2017-08-05,50,12,9006.0,7978.135,9256952.189999998
2017-08-02,45,30,9582.985,8623.168,9197911.91374501
2017-08-11,44,30,9311.46,8325.74,9178492.351199994
2017-07-30,3,30,9403.489,8433.978,9116786.023879003
2017-07-23,44,12,14397.0,13768.725,9045275.174999995
2017-07-29,50,12,9622.0,8683.916,9026244.248000007
2017-07-30,3,12,10361.0,9496.988,8952028.332000006
2017-07-23,3,3,11514.0,12286.544,8895071.615999999
2017-07-27,31,7,3500.0,966.945,8865692.5
2017-07-21,45,12,11043.0,10243.809,8825466.213000007
2017-07-29,42,3,5286.0,3616.4478,8825252.929200001
2017-08-06,3,3,10600.0,11432.215,8821479.000000002
2017-08-01,48,12,11274.0,10493.211,8802615.186000008
2017-08-07,47,12,8845.0,9838.397,8786596.465000007
2017-08-10,47,12,8029.0,6941.377,8732525.066999996
2017-08-02,3,30,11352.238,10585.146,8708210.951895986
2017-07-22,30,3,3773.0,1470.4586,8687488.702200001
2017-07-19,44,12,9381.0,8462.311,8618221.509000003
2017-08-06,49,30,9181.79,8247.93,8574506.409400007
2017-07-30,52,12,7884.0,8971.268,8572020.912
2017-08-05,44,3,12455.0,13142.839,8567034.745
2017-08-12,3,12,7167.0,8350.172,8479793.724000003
2017-08-06,45,12,15190.0,14634.829,8433047.490000004
2017-08-05,11,3,5299.0,6883.7173,8397416.972700002
2017-08-11,52,30,6163.229,4801.3374,8393649.8039764
2017-08-02,47,12,12263.0,11578.591,8392907.566999996
2017-08-01,9,7,4335.0,2405.8118,8363030.847
2017-08-12,50,12,6202.0,7537.7856,8284542.291200001
2017-08-15,47,12,9389.0,8509.568,8256987.048000007
2017-08-01,44,3,10808.0,10046.244,8233058.847999994
2017-08-03,14,7,4016.0,1978.093,8184234.512
2017-08-12,48,3,4702.0,6438.851,8166673.401999999
2017-07-24,46,3,6945.0,5769.871,8161270.904999999
2017-07-28,40,7,3876.0,1770.901,8159363.724
2017-08-01,46,12,11574.0,10870.531,8141950.20599999
2017-08-10,20,3,4786.0,3089.78,8118108.919999999
2017-08-03,45,12,9583.0,10427.45,8092364.350000007
2017-07-26,38,7,3320.0,890.0811,8067330.748000001
2017-07-20,39,3,4811.0,3135.7659,8059551.255100001
2017-08-06,44,12,13248.0,13856.261,8058241.728000006
2017-08-07,40,12,7241.0,6128.331,8056836.228999999
2017-08-04,48,12,7975.0,8985.139,8055858.524999994
2017-07-19,45,3,8947.0,8050.9404,8017045.241199996
2017-07-30,20,3,6866.0,5700.0176,8005635.158399999
2017-08-02,8,30,7376.513,6300.953,7933882.322279996
2017-07-23,51,30,4617.282,6320.6035,7864715.702163001
2017-08-11,47,3,8792.0,7898.08,7859344.640000001
2017-08-11,44,3,9517.0,8693.954,7832928.782000002
2017-08-07,44,12,8497.0,9416.637,7814155.589000005
2017-08-11,28,12,5148.172,3641.9111,7754490.190074798
2017-08-02,41,3,4794.0,3182.8225,7723984.934999999
2017-08-02,3,3,8217.0,9156.926,7723371.941999996
2017-07-30,11,12,8906.852,8040.132,7719746.765440011
2017-08-09,44,12,8062.0,9019.162,7716640.044000003
2017-08-10,43,3,5230.0,3755.3071,7712643.867
2017-07-25,31,3,4297.0,2504.7114,7701464.1142
2017-08-14,45,12,9665.0,10461.13,7694596.449999992
2017-08-05,49,30,6922.8022,8033.259,7687472.7780449595
2017-07-24,43,12,5847.266,4538.9824,7649882.212637598
2017-07-28,40,12,5858.0,4555.0493,7632685.200600002
2017-08-05,44,12,12463.0,13073.101,7603688.763000007
2017-07-30,51,30,6757.23,5636.636,7572111.394619994
2017-07-22,25,3,4230.0,2444.7537,7551591.848999999
2017-08-05,44,30,10463.003,11184.488,7548899.719454988
2017-07-30,51,3,7150.0,6095.129,7542327.65
2017-07-22,45,12,12276.0,12889.413,7530257.9880000055
2017-08-12,20,3,6375.0,5200.583,7486908.375000003
2017-07-20,47,3,7622.0,6645.573,7442326.593999998
2017-07-24,11,12,6874.531,5793.948,7428501.331572997
2017-07-27,48,12,6437.0,5285.508,7412154.004000002
2017-07-24,51,12,6409.0,5256.2905,7387715.1855
2017-07-25,17,12,5446.0,4091.9968,7373901.427200001
2017-07-22,41,3,4829.0,3304.0452,7364006.7292
2017-08-06,50,12,8360.0,9236.452,7327138.719999994
2017-07-21,44,12,10264.0,9550.704,7321270.144000003
2017-07-28,3,3,8848.0,8023.3564,7296446.572800003
2017-07-22,43,3,6410.0,5272.1787,7293434.532999998
2017-08-11,52,3,5644.0,4354.3877,7278571.821199999
2017-08-11,45,30,7112.925,6090.563,7271984.228850001
2017-07-30,27,3,6195.0,5022.849,7261475.444999999
2017-08-13,48,12,9423.0,10191.459,7241189.157000007
2017-07-28,52,12,6782.0,5726.2744,7159931.019199998
2017-07-31,20,7,4508.0,2924.2432,7139575.6544
2017-08-01,9,12,9823.43,9103.045,7076651.620550002
2017-08-02,45,12,12494.0,11928.36,7067106.159999993
2017-07-26,45,12,9472.0,8726.813,7058411.263999999
2017-08-13,3,3,8423.0,9260.183,7051592.409000007
2017-08-13,43,12,6367.102,5260.4297,7046295.414674601
2017-07-30,12,7,3355.0,1263.6167,7016590.9715
2017-07-31,49,30,8505.368,7686.0073,6968964.278237602
2017-08-06,46,12,14233.0,14722.2,6962783.600000011
2017-07-30,21,3,5746.0,4536.7466,6948370.036399998
2017-08-01,31,12,6847.32,5839.452,6901194.713759996
2017-07-28,49,3,7536.0,6624.396,6869847.744000002
2017-07-23,52,12,8568.0,7766.492,6867320.543999999
2017-07-23,3,30,9825.017,9128.106,6847162.422487
2017-08-11,28,3,4471.0,2942.8896,6832181.5984000005
2017-08-01,3,3,8192.0,7359.371,6820896.767999999
2017-08-11,45,3,8983.0,8226.102,6799214.733999993
2017-07-19,44,3,9559.0,8851.796,6760163.0359999975
2017-07-28,47,12,10003.0,9327.935,6752675.195000005
2017-07-24,45,3,8926.0,8175.745,6696776.130000001
2017-07-20,41,3,4108.0,2485.4912,6665266.150400001
2017-07-25,50,12,6585.0,5574.6206,6653348.3489999985
2017-07-31,3,3,7954.0,8789.883,6648613.381999998
2017-08-13,45,12,12723.0,12202.318,6624637.0860000085
2017-08-01,44,12,10941.0,10336.591,6612838.868999996
2017-08-05,43,12,4592.297,6030.309,6603778.193564002
2017-07-26,49,30,10148.009,9498.553,6590685.333104001
2017-07-31,37,3,4522.0,3069.7588,6567034.7064
2017-08-03,45,3,7093.0,8017.396,6556740.827999998
2017-08-13,45,3,10671.0,11285.116,6553231.836
2017-07-25,39,3,5071.0,3787.8164,6507024.035599999
2017-07-23,43,3,5159.0,6412.0464,6464466.377600001
2017-08-15,44,12,8123.0,8918.639,6462975.596999994
2017-07-24,46,12,9023.0,8307.223,6458455.871
2017-07-30,46,3,11172.0,10597.043,6423419.604000004
2017-07-21,44,3,9026.0,9736.074,6409127.924000004
2017-07-27,45,3,7308.0,6437.951,6358318.092
2017-07-22,46,3,9368.0,8692.103,6331803.096000008
2017-08-11,50,12,6808.0,5881.437,6308040.904000001
2017-08-01,36,30,3316.416,1416.1049,6302222.137017601
2017-08-04,50,12,6040.0,7083.1675,6300731.699999997
2017-08-10,39,12,5442.25,4284.541,6300541.805249999
2017-07-29,44,30,11811.585,11278.493,6296661.470819985
2017-07-29,36,12,5377.586,4212.0083,6267994.321432199
2017-07-23,43,12,4909.383,6184.654,6260793.767793003
2017-08-06,20,3,5797.0,6875.876,6254244.172000001
2017-07-30,16,7,3087.0,1064.4589,6243584.3757
2017-08-02,13,12,4387.0,2965.4355,6236403.4615
2017-07-24,3,3,8633.0,7910.6406,6236128.700200003
2017-07-22,49,12,7792.0,8592.069,6234137.647999996
2017-07-22,11,3,3895.0,5492.0654,6220569.733000002
2017-08-15,40,12,4793.0,6085.9414,6197068.130199999
2017-08-10,44,3,7595.0,6779.072,6196973.159999999
2017-07-26,44,3,7453.0,8283.609,6190528.877000003
2017-08-03,49,12,6277.0,7259.5977,6167765.762900001
2017-07-30,43,12,6751.586,5841.964,6141391.160492002
2017-08-02,52,12,7195.0,6344.0576,6122530.567999999
2017-07-23,29,12,3712.125,5360.3525,6118426.508437499
2017-08-02,44,30,14145.908,13713.637,6114865.797067983
2017-08-12,45,30,6242.682,7220.2915,6102905.228679003
2017-08-05,3,3,10187.0,10784.666,6088423.541999992
2017-07-22,50,12,8404.0,7680.423,6080941.108000002
2017-07-24,28,3,4276.0,2858.8125,6059893.75
2017-08-12,51,12,4249.0,5666.3223,6022202.452699999
2017-08-04,45,3,8534.0,9238.994,6016418.796000005
2017-07-29,14,7,3409.0,1645.7429,6010943.4539
2017-07-30,52,30,4699.616,5977.1787,6004054.105923202
2017-08-04,3,3,7967.0,8719.941,5998680.947000005
2017-07-23,51,12,5705.0,6756.374,5998088.669999999
2017-08-03,47,12,9898.0,10499.369,5952350.362000006
2017-07-29,45,3,12346.0,11864.866,5940080.364
2017-08-15,45,12,9287.0,8650.558,5910636.853999992
2017-07-21,3,3,7967.0,8706.089,5888322.062999999
2017-08-13,21,12,6738.984,5868.173,5868381.396024005
2017-08-06,50,3,5546.0,6600.7896,5849863.1216
2017-07-29,43,3,4993.0,6159.737,5825517.841
2017-07-29,9,12,7861.719,7124.677,5794417.095198003
2017-08-06,31,3,5854.0,4865.327,5787691.741999999
2017-07-21,46,3,5505.0,6555.9756,5785620.677999998
2017-07-20,39,12,5306.867,4222.7617,5753202.641095101
2017-07-29,14,12,4736.0,3535.5203,5685471.859199999
2017-07-22,46,12,12313.0,11851.616,5681021.192
2017-07-29,50,3,7307.0,6530.097,5676830.221000002
2017-07-24,49,3,7493.0,6735.839,5673407.373000001
2017-08-14,3,30,7941.873,7228.438,5666010.163754996
2017-07-30,28,3,5856.0,4889.712,5658582.527999997
2017-07-19,3,12,8256.0,7571.01,5655277.439999999
2017-07-30,45,30,9001.436,8373.286,5654252.023399997
2017-08-10,50,12,5727.0,4746.578,5614876.793999998
2017-08-06,11,12,9488.242,10075.315,5570290.695666003
2017-07-25,43,3,5915.0,4976.6826,5550147.420999999
2017-08-09,52,30,7873.919,7169.13,5549451.498090998
2017-07-31,46,3,5976.0,6904.1094,5546381.774400001
2017-08-04,4,12,4501.0,3272.3608,5530105.0392
2017-08-12,51,3,4137.0,5472.549,5525166.2129999995
2017-07-24,47,7,3694.0,2207.1824,5492304.214399999
2017-08-04,44,12,9346.0,9933.389,5489737.593999993
2017-07-31,50,3,4483.0,5707.2856,5488472.344800001
2017-07-19,37,3,4245.0,2954.642,5477569.710000001
2017-07-23,46,3,10253.0,10787.188,5477029.564000001
2017-08-12,51,30,4384.728,5626.917,5446660.889592001
2017-07-28,8,3,5354.0,4337.0947,5444510.976200002
2017-08-01,20,12,7641.75,6931.547,5427193.775250004
2017-07-23,50,12,9340.0,8759.502,5421851.319999997
2017-08-02,50,12,7970.0,7292.9526,5396067.778000003
2017-08-15,54,3,4332.0,3087.9988,5389013.198400001
2017-08-02,14,12,4439.0,3226.62,5381754.82
2017-07-24,51,3,5260.0,4237.7285,5377148.089999999
2017-07-29,47,3,12405.0,11971.576,5376624.720000011
2017-07-30,52,3,5867.0,6779.8906,5355929.150199998
2017-07-20,40,3,4998.0,3928.1511,5347104.8022
2017-07-31,44,12,9934.0,10472.125,5345733.75
2017-08-04,36,3,4593.0,3431.2983,5335695.908100001
2017-08-03,20,12,6725.555,5933.2227,5328874.4619265
2017-08-03,47,3,6537.0,7352.121,5328445.977000001
2017-08-10,11,12,6679.977,5882.686,5325885.542307001
2017-08-03,49,30,5354.495,6347.1367,5315095.0194415
2017-08-07,44,30,8041.423,8701.262,5306044.510897007
2017-08-04,44,3,8620.0,9235.011,5301394.820000004
2017-07-25,44,3,6862.0,7632.6943,5288504.286600001
2017-07-27,40,7,2920.0,1116.0106,5267649.0479999995
2017-08-10,52,12,5377.0,4399.167,5257808.040999998
2017-08-09,48,12,5635.0,6566.5684,5249387.934
2017-07-31,46,12,11039.0,10563.611,5247819.170999992
2017-08-08,39,12,6052.422,5186.5654,5240529.5346851945
2017-08-12,49,12,7030.0,7774.6934,5235194.602000001
2017-08-05,9,12,8659.883,9264.1875,5233206.266373501
2017-07-31,3,30,8316.788,7687.693,5232049.746860002
2017-07-29,20,3,5281.0,4292.5264,5220129.081600001
2017-08-11,51,3,5356.0,4382.3477,5214881.718799999
2017-07-23,41,7,3381.0,1856.5116,5154295.2804
2017-07-31,13,7,2930.0,1171.5393,5152289.851000001
2017-07-23,51,3,5141.0,6143.1924,5152271.1284
2017-07-28,50,12,7084.0,6358.3315,5140635.653999998
2017-07-27,43,3,4741.0,3658.8213,5130609.2167
2017-07-19,7,30,6755.075,7506.621,5076749.595950002
2017-07-30,36,3,4783.0,3724.3438,5063552.604599999
2017-07-28,44,3,10013.0,9507.737,5059198.419000008
2017-07-23,44,30,13070.116,12683.768,5049613.176367999
2017-08-04,47,12,10026.0,10529.591,5049003.366000003
2017-08-04,31,12,5513.344,4601.448,5027596.340223999
2017-07-28,39,12,5603.711,4707.648,5021278.089793
2017-08-12,50,3,4295.0,5463.723,5019665.285
2017-08-11,39,12,3841.18,5145.2314,5009096.156651999
2017-08-02,52,30,8154.466,7540.752,5004509.946723999
2017-07-21,47,3,9357.0,8822.55,5000848.650000007
2017-08-08,11,3,4858.0,3830.8335,4989974.856999999
2017-08-01,52,3,5390.0,4468.127,4968895.469999998
2017-08-05,49,3,7494.0,8156.7656,4966765.406399998
2017-08-06,49,3,8989.0,8437.305,4959186.354999998
2017-08-11,27,12,4149.0,2953.9988,4958059.978800001
2017-08-15,40,7,3112.0,1520.1448,4953853.3824
2017-08-12,39,12,4344.18,5484.314,4952947.32012
2017-08-04,39,12,6486.227,5722.635,4952831.047383998
2017-08-02,11,12,10013.141,9519.269,4945209.971951994
2017-08-10,45,12,8044.0,7429.79,4940705.24
2017-07-29,19,12,5770.0,4915.741,4929074.43
2017-08-14,11,12,7380.539,6714.1807,4918083.421123699
2017-08-15,9,12,6630.383,5890.3315,4906824.884724497
2017-08-10,49,3,5531.0,4649.4004,4876127.387599997
2017-07-28,21,7,3498.0,2104.3335,4875045.416999999
2017-07-23,27,12,4874.0,5872.7188,4867755.431199999
2017-08-04,52,12,6638.0,5908.947,4839453.813999999
2017-07-22,11,12,5738.016,6580.18,4832350.506624004
2017-07-22,30,12,3418.0,2006.8586,4823281.3052
2017-08-05,48,3,6805.0,7510.3555,4799944.177499997
2017-08-07,48,12,8040.0,8633.7295,4773585.179999996
2017-08-10,34,12,4334.188,3235.4128,4762298.286537601
2017-07-19,39,3,2848.0,4519.2754,4759792.339200001
2017-08-11,3,3,7032.0,7707.2915,4748649.828000002
2017-08-02,20,12,5918.594,6717.239,4726855.505129998
2017-07-19,11,12,6588.984,5873.102,4716935.043888004
2017-08-04,20,12,6811.906,6122.226,4698035.330080002
2017-08-01,45,12,12327.0,12707.44,4689683.880000006
2017-07-29,49,12,7929.0,8519.965,4685761.485000001
2017-07-21,38,3,2349.0,4341.2896,4679888.2704
2017-08-06,38,12,4010.0,5176.5303,4677786.503000001
2017-08-14,45,30,6380.623,5647.722,4676364.977322998
2017-07-20,11,12,5287.484,6166.3228,4646846.093579198
2017-07-29,39,3,3896.0,5085.448,4634089.408000002
2017-07-24,48,12,7808.0,7214.605,4633228.160000004
2017-08-02,44,3,9461.0,9949.829,4624811.168999997
2017-08-10,25,3,3123.0,1643.0178,4621984.4106
2017-08-13,40,3,3597.0,4880.984,4618490.448000002
2017-07-24,49,30,7814.31,7223.996,4612896.593340003
2017-08-08,45,12,8693.0,8162.586,4610888.901999998
2017-08-13,20,12,7443.273,6824.4375,4606161.568591502
2017-08-12,31,3,2757.0,4416.521,4575299.396999999
2017-08-09,3,3,6825.0,7495.1787,4573969.627500002
2017-07-31,41,12,3547.0,4834.2383,4565834.2501
2017-08-01,39,12,6259.031,6988.0864,4563180.349317401
2017-07-26,51,30,7904.551,8481.451,4560135.47189999
2017-08-01,29,12,5728.578,4932.89,4558160.771664001
2017-07-30,49,30,8746.156,8224.995,4558155.407116001
2017-07-27,46,12,7063.0,6419.614,4544235.318000003
2017-07-28,49,30,6647.662,7329.4985,4532618.591262996
2017-08-11,48,3,4907.0,3988.8113,4505551.9509000005
2017-07-19,51,30,8453.711,7923.233,4484507.703857993
2017-08-14,45,3,7639.0,8225.959,4483779.801000006
2017-08-06,39,12,6337.391,7044.8525,4483460.142946502
2017-07-24,29,3,3701.0,2491.4321,4476610.7979
2017-07-21,40,3,3459.0,4750.238,4466392.242000001
2017-08-07,43,3,5771.0,5000.627,4445822.582999998
2017-08-01,3,12,8229.0,7690.6113,4430400.612300004
2017-08-07,43,12,5868.57,5114.376,4426040.282579997
2017-08-05,51,3,6134.0,5417.1646,4397068.343599999
2017-07-23,28,3,3950.0,5061.6387,4390972.865000002
2017-07-27,50,12,5792.0,5035.6167,4380972.073600003
2017-07-26,8,30,5890.403,6633.1343,4374986.677713897
2017-07-25,49,30,5380.885,6191.349,4361013.58064
2017-08-04,45,12,11562.0,11185.998,4347335.1240000045
2017-08-07,46,12,9189.0,9661.816,4344706.224000007
2017-07-22,48,3,6698.0,7345.5396,4337220.240800001
2017-08-12,52,30,4250.356,5269.6045,4332168.977466002
2017-07-30,46,7,5087.0,4237.21,4322881.7299999995
2017-08-14,7,30,5838.443,5098.8516,4318062.232190202
2017-08-10,40,12,5481.0,4694.793,4309200.567000002
2017-08-15,54,12,4235.0,3218.8623,4303343.159500001
2017-08-01,30,7,2544.0,853.1388,4301550.8928000005
2017-08-14,44,12,8318.0,8834.398,4295398.563999994
2017-07-27,44,3,7400.0,6820.4365,4288769.900000001
2017-08-12,21,3,2584.0,4243.717,4288708.727999999
2017-08-09,49,30,9147.198,9615.908,4287383.174579992
2017-07-25,51,30,5081.281,4237.917,4285369.469283998
2017-07-27,9,12,5172.547,4346.7593,4271425.690271899
2017-07-23,41,12,6423.0,5758.013,4271211.501
2017-07-24,40,3,2744.0,4299.8647,4269292.7368
2017-07-27,45,12,8061.0,7531.443,4268758.976999998
2017-08-07,52,12,5829.0,5097.1006,4266241.602600002
2017-08-11,51,12,5483.0,4707.672,4251123.424000002
2017-08-11,27,3,3480.0,2259.1824,4248445.248
2017-08-14,39,3,4419.0,3459.4128,4240415.8368
2017-07-28,52,3,5304.0,4504.947,4238177.112
2017-07-20,20,12,5058.82,4222.212,4232249.2825599965
2017-07-29,24,3,4912.0,4053.1846,4218501.2447999995
