date,store_nbr,family,sales,prediction_nb9,prediction_nb11,weighted_abs_error_nb9,weighted_abs_error_nb11
2017-07-27,21,7,4860.0,812.21106,788.07355,19672254.2484,19789562.547
2017-07-22,44,3,15048.0,13482.714,13733.944,23554423.728,19773914.68800001
2017-08-01,38,3,6098.0,2885.7637,2905.627,19588216.9574,19467090.554
2017-07-30,54,3,4394.0,6730.5864,8776.246,10266960.6416,19255588.923999995
2017-08-06,28,12,9061.992,6961.28,6948.861,19036635.338304006,19149176.216952004
2017-08-13,54,3,4824.0,4138.0356,8712.416,3309092.265599999,18757718.783999998
2017-08-11,20,12,7563.633,4891.606,5117.178,20210231.594091,18504087.771015
2017-08-05,11,12,8311.914,10381.29,10472.828,17200475.345664002,17961331.32939599
2017-07-29,40,7,5942.0,2739.7412,2924.312,19027821.7896,17931102.096
2017-07-19,41,12,6232.0,3362.0005,3383.7834,17885836.884,17750085.8512
2017-07-29,3,3,11796.0,10998.477,10300.259,9407581.30799999,17643760.836
2017-08-01,40,7,5411.0,2419.469,2165.3447,16187174.241,17562240.8283
2017-08-08,54,3,5644.0,2530.0906,2536.1113,17574904.6536,17540923.8228
2017-07-30,20,12,9797.383,8474.936,8014.6963,12956519.756201,17465664.368906103
2017-07-22,47,3,13007.0,11837.997,11664.441,15205222.021000007,17462664.91299999
2017-08-12,33,3,5257.0,1942.1527,1952.5168,17426152.2561,17371668.1824
2017-07-29,52,12,9604.0,7728.5977,7816.1665,18011363.6892,17170352.933999997
2017-08-13,47,12,10110.0,10276.148,11807.845,1679756.279999992,17165212.94999999
2017-07-29,40,3,7796.0,5111.005,5598.3906,20932221.02,17132562.882400002
2017-08-06,44,3,12913.0,12547.285,14238.714,4722477.795000002,17118944.882
2017-08-01,45,3,9111.0,9554.46,10973.464,4040364.059999992,16968909.504
2017-08-01,28,12,7927.625,5420.987,5797.2593,19871686.07475,16888740.3824625
2017-08-11,45,12,11088.0,9708.124,9567.922,15300065.088000001,16854624.863999996
2017-07-29,44,12,13931.0,13162.27,12726.018,10709177.629999993,16786604.242
2017-07-20,47,12,9547.0,7736.0024,7798.66,17289594.087199997,16691401.980000002
2017-07-24,44,3,9830.0,8329.224,8146.6533,14752628.079999998,16547298.061
2017-07-29,47,12,13578.0,12908.748,12365.22,9087103.656000005,16467126.84000001
2017-08-12,48,12,8306.0,8946.994,10237.014,5324096.1640000045,16039002.283999994
2017-07-31,47,12,12238.0,9379.406,10932.265,34983473.37199999,15979584.930000007
2017-08-06,47,12,13166.0,12068.613,14376.483,14448197.242000008,15937219.178000003
2017-08-05,3,12,8532.0,9059.517,10398.079,4500775.043999999,15921386.027999997
2017-08-13,44,12,9811.0,10921.782,11425.083,10897882.201999992,15835768.313000005
2017-07-30,29,12,7025.07,5275.513,4771.2324,12290760.393989999,15833366.908631999
2017-07-30,28,12,8365.445,7069.715,6484.4243,10839358.049849996,15735575.2097115
2017-07-30,45,3,14893.0,13109.039,13854.955,26568531.17299999,15459604.185
2017-07-30,3,3,12750.0,11682.308,11543.009,13613072.999999989,15389135.25
2017-07-31,44,3,10860.0,8861.395,9468.593,21704850.299999997,15110680.019999992
2017-08-02,51,30,9553.308,8365.455,7984.8164,11347925.56772401,14984283.350212812
2017-08-12,45,3,8969.0,10667.818,10631.363,15236698.641999993,14909733.746999994
2017-08-01,42,3,5818.0,3072.083,3265.4648,15975745.105999999,14850649.793599999
2017-08-11,48,12,8547.0,7191.8237,6840.5054,11582691.8361,14585409.3462
2017-07-28,45,3,10576.0,9228.23,9203.961,14254015.520000005,14510684.464000007
2017-08-06,45,3,12609.0,11747.838,13741.124,10858391.658000004,14274951.515999997
2017-07-30,40,7,5652.0,3604.8376,3163.0234,11570561.8848,14067695.7432
2017-07-28,39,7,4822.0,2233.626,1921.5925,12481139.428,13985764.965000002
2017-07-29,52,3,7592.0,5979.667,5752.384,12240832.135999998,13966364.672
2017-07-21,54,3,5262.0,2741.022,2626.6797,13265386.236,13867055.418599999
2017-08-03,44,12,8419.0,8303.366,10054.931,973522.6460000001,13772903.089000003
2017-07-22,45,3,11341.0,12520.55,12549.553,13377276.549999991,13706199.572999999
2017-07-24,28,12,6119.406,3892.6018,3923.2961,13626718.9823052,13438888.0987194
2017-08-04,11,3,7066.0,5082.266,5168.463,14017064.444000002,13407996.442000002
2017-08-01,47,12,12456.0,10822.538,11382.441,20346402.671999995,13372250.903999992
2017-07-27,14,7,4042.0,733.79004,760.77625,13371784.65832,13262706.3975
2017-08-03,46,12,8086.0,8543.913,9714.945,3702684.518000004,13171649.269999998
2017-07-30,14,7,4509.0,1712.3676,1633.3303,12610015.4916,12966394.6773
2017-08-06,28,3,7153.0,5170.7085,5372.616,14179331.099500002,12735086.752
2017-08-11,47,12,10297.0,8910.851,9065.43,14273176.252999995,12681476.289999997
2017-08-09,44,30,11384.693,12876.102,12496.871,16979233.602437016,12661805.091353998
2017-08-15,40,3,6845.0,5057.595,5004.278,12234787.224999998,12599742.089999998
2017-07-29,45,12,13750.0,12864.949,12844.94,12169451.249999993,12444574.999999993
2017-08-13,44,3,10491.0,11212.444,11669.57,7568669.003999995,12364377.869999997
2017-07-21,11,3,6251.0,4410.299,4287.2573,11506221.951,12275355.6177
2017-07-28,45,12,11241.0,9897.1045,10160.902,15106729.315500006,12141381.617999999
2017-08-10,54,3,4686.0,2052.2395,2119.8865,12341801.703,12024807.861
2017-08-01,47,3,8636.0,9320.182,10027.305,5908595.752000006,12015309.980000002
2017-08-14,40,3,6386.0,4503.86,4508.8403,12019346.040000003,11987541.8442
2017-07-23,47,3,14933.0,12178.968,14136.817,41125959.85599999,11889400.739000013
2017-07-28,11,12,7299.141,5711.414,5675.796,11589043.242506998,11849024.046644995
2017-08-12,20,12,5129.797,6776.772,7428.1206,8448647.414075002,11789933.508309202
2017-08-11,40,12,6948.0,5105.93,5263.3213,12798702.359999998,11705147.607600003
2017-07-30,44,12,14472.0,13605.575,13665.927,12538902.59999999,11665488.456000004
2017-08-10,40,3,5716.0,3722.3848,3692.4,11395504.4832,11566897.6
2017-07-20,38,3,5087.0,2887.5825,2815.7607,11188436.8225,11553794.319100002
2017-08-14,44,3,7322.0,7952.971,8892.792,4619969.661999997,11501339.023999996
2017-07-30,48,12,13970.0,13154.682,13154.242,11389992.45999999,11396139.259999998
2017-07-24,27,12,5937.0,4012.043,4017.5837,11428469.708999999,11395574.573099999
2017-08-14,54,3,5403.0,3225.1023,3303.583,11767181.2731,11343150.050999999
2017-08-13,40,12,5364.0,6680.4893,7464.464,7061648.605200001,11266888.896
2017-07-20,3,3,8479.0,6841.263,7174.6494,13886372.023,11059588.737399997
2017-08-01,20,7,5195.0,2680.6045,3071.0605,13062284.6225,11033865.7025
2017-07-19,45,12,10002.0,8643.804,8900.658,13584676.391999999,11015622.684000006
2017-08-13,46,12,10557.0,10554.916,11598.119,22000.788000007837,10991093.283000005
2017-08-01,11,12,11133.969,9793.72,10150.095,14922290.818280997,10954422.615905996
2017-08-15,30,3,4052.0,1226.4596,1349.6848,11449089.7008,10949781.1904
2017-08-12,44,30,9153.445,10654.272,10347.69,13737737.39901501,10931455.924025007
2017-08-12,46,3,5900.0,7148.5337,7751.637,7366348.83,10924658.299999999
2017-07-30,47,12,14800.0,13801.028,14066.206,14784785.599999996,10860151.199999997
2017-08-11,31,3,5050.0,2962.0085,2905.518,10544357.075000001,10829634.1
2017-08-02,45,3,10317.0,9547.075,9269.027,7943316.224999992,10811937.441
2017-08-05,40,3,5582.0,7256.06,7518.415,9344602.920000002,10809068.53
2017-07-22,38,3,5408.0,4328.095,3410.3142,5840126.239999998,10803484.806400001
2017-07-20,46,12,8007.0,6471.23,6675.0815,12296910.390000004,10664671.429499999
2017-07-30,20,7,5400.0,3767.4941,3429.3662,8815531.860000001,10641422.52
2017-07-30,29,3,5738.0,3967.1997,3890.268,10160852.121399999,10602286.216
2017-08-11,25,30,4266.269,1769.0002,1781.3922,10654020.466107203,10601152.8606592
2017-07-30,38,7,4145.0,1769.0298,1589.6041,9848396.478999998,10592116.0055
2017-08-12,3,3,7685.0,8936.474,9055.295,9617577.690000001,10530717.075000001
2017-08-05,43,3,5079.0,7364.312,7143.899,11607099.648,10487622.021000002
2017-07-28,52,30,6258.242,4683.404,4584.785,9855717.314795999,10472898.882594002
2017-07-30,21,12,7775.234,7232.8843,6428.323,4216895.827329805,10472548.202174
2017-07-27,39,12,5882.719,4088.1487,4113.577,10556952.8006457,10407365.257097999
2017-07-23,20,12,8553.242,7071.169,7337.9966,12676529.030666003,10394287.995586798
2017-07-28,46,12,9776.0,8395.904,8717.697,13491818.495999996,10345970.127999999
2017-07-30,21,7,4708.0,2607.9485,2521.6123,9887042.462,10293513.291600002
2017-07-30,44,30,12653.657,12238.424,11840.772,5254215.957080979,10285967.97044498
2017-08-11,44,12,9979.0,9253.386,8960.475,7240902.105999996,10163860.974999996
2017-07-30,39,7,4817.0,3162.4253,2714.3523,7970086.3299,10128453.9709
2017-07-31,48,12,10120.0,8043.6465,9124.888,21012697.42,10070533.439999992
2017-07-30,51,12,7897.0,6837.6826,6623.9224,8365429.507799999,10053493.807199998
2017-08-04,46,12,8728.0,9361.947,9878.145,5533089.416000001,10038465.560000004
2017-07-20,45,12,8964.0,7742.8867,7854.5703,10946059.621199999,9944927.830799997
2017-07-24,45,12,10864.0,8952.745,9949.928,20763874.319999993,9930478.208
2017-07-28,20,7,3819.0,1335.624,1237.9403,9484012.944,9857066.994299999
2017-08-11,25,12,4433.0,2234.9387,2216.4539,9744005.742899999,9825948.8613
2017-08-06,44,30,12913.622,11558.357,12153.135,17501379.91982999,9820641.65391399
2017-08-14,28,12,6050.031,4520.544,4429.582,9253443.764097,9803766.683918998
2017-07-30,27,12,7080.0,6182.249,5704.954,6356077.080000001,9735325.680000002
2017-07-26,44,30,11827.345,12696.092,12629.887,10274970.486715013,9491941.110990014
2017-07-31,3,12,7491.0,7042.3433,8750.79,3360887.3396999966,9437086.890000006
2017-08-06,46,3,9042.0,9069.35,10078.784,247298.7000000033,9374600.927999998
2017-07-31,45,3,10163.0,8611.029,9241.819,15772681.272999996,9361962.503000004
2017-07-26,39,3,5356.0,3335.963,3608.1821,10819318.171999998,9361312.6724
2017-08-11,46,3,6528.0,5119.9937,5094.786,9191465.1264,9356020.991999999
2017-08-05,49,12,8410.0,9353.1,9518.795,7931471.000000003,9324965.950000001
2017-07-24,27,3,4850.0,3085.1902,2930.4617,8559327.53,9309760.755
2017-08-05,50,12,9006.0,7325.463,7978.135,15134916.222000003,9256952.189999998
2017-08-02,45,30,9582.985,8734.98,8623.168,8126419.19492501,9197911.91374501
2017-08-11,44,30,9311.46,8941.817,8325.74,3441916.00878,9178492.351199994
2017-07-30,3,30,9403.489,8821.671,8433.978,5471119.163001993,9116786.023879003
2017-07-23,44,12,14397.0,13062.093,13768.725,19218656.07899999,9045275.174999995
2017-07-29,50,12,9622.0,8429.031,8683.916,11478747.717999991,9026244.248000007
2017-07-30,3,12,10361.0,9819.921,9496.988,5606119.5189999975,8952028.332000006
2017-07-23,3,3,11514.0,11805.553,12286.544,3356941.2419999987,8895071.615999999
2017-07-27,31,7,3500.0,956.819,966.945,8901133.5,8865692.5
2017-07-21,45,12,11043.0,10069.206,10243.809,10753607.141999999,8825466.213000007
2017-07-29,42,3,5286.0,3459.7346,3616.4478,9653638.9044,8825252.929200001
2017-08-06,3,3,10600.0,10822.711,11432.215,2360736.599999993,8821479.000000002
2017-08-01,48,12,11274.0,9315.736,10493.211,22077468.33599999,8802615.186000008
2017-08-07,47,12,8845.0,8636.943,9838.397,1840264.165000006,8786596.465000007
2017-08-10,47,12,8029.0,6681.2544,6941.377,10821049.422400001,8732525.066999996
2017-08-02,3,30,11352.238,10793.598,10585.146,6341814.236319993,8708210.951895986
2017-07-22,30,3,3773.0,1477.7733,1470.4586,8659890.339100001,8687488.702200001
2017-07-19,44,12,9381.0,7899.377,8462.311,13899105.362999996,8618221.509000003
2017-08-06,49,30,9181.79,8096.5493,8247.93,9964452.206853012,8574506.409400007
2017-07-30,52,12,7884.0,10021.636,8971.268,16853122.224000003,8572020.912
2017-08-05,44,3,12455.0,11597.698,13142.839,10677696.409999996,8567034.745
2017-08-12,3,12,7167.0,7953.6504,8350.172,5637923.4168000035,8479793.724000003
2017-08-06,45,12,15190.0,12462.888,14634.829,41424831.27999999,8433047.490000004
2017-08-05,11,3,5299.0,6379.2886,6883.7173,5724449.2913999995,8397416.972700002
2017-08-11,52,30,6163.229,4993.856,4801.3374,7207113.585417003,8393649.8039764
2017-08-02,47,12,12263.0,11259.8955,11578.591,12301070.483499993,8392907.566999996
2017-08-01,9,7,4335.0,2386.931,2405.8118,8444879.115,8363030.847
2017-08-12,50,12,6202.0,6830.72,7537.7856,3899321.440000002,8284542.291200001
2017-08-15,47,12,9389.0,7804.721,8509.568,14874795.531000005,8256987.048000007
2017-08-01,44,3,10808.0,9170.809,10046.244,17694760.32800001,8233058.847999994
2017-08-03,14,7,4016.0,1994.0846,1978.093,8120012.2464000005,8184234.512
2017-08-12,48,3,4702.0,6119.2217,6438.851,6663776.4334,8166673.401999999
2017-07-24,46,3,6945.0,5680.381,5769.871,8782778.954999998,8161270.904999999
2017-07-28,40,7,3876.0,1769.362,1770.901,8165328.887999999,8159363.724
2017-08-01,46,12,11574.0,10131.89,10870.531,16690981.140000006,8141950.20599999
2017-08-10,20,3,4786.0,3190.9539,3089.78,7633890.6346,8118108.919999999
2017-08-03,45,12,9583.0,9063.602,10427.45,4977391.033999993,8092364.350000007
2017-07-26,38,7,3320.0,882.2098,890.0811,8093463.464,8067330.748000001
2017-07-20,39,3,4811.0,3085.8608,3135.7659,8299644.6912,8059551.255100001
2017-08-06,44,12,13248.0,12120.02,13856.261,14943479.039999994,8058241.728000006
2017-08-07,40,12,7241.0,6399.7583,6128.331,6091431.149699997,8056836.228999999
2017-08-04,48,12,7975.0,8615.378,8985.139,5107014.5500000045,8055858.524999994
2017-07-19,45,3,8947.0,7677.593,8050.9404,11357384.429000001,8017045.241199996
2017-07-30,20,3,6866.0,5866.52,5700.0176,6862429.679999997,8005635.158399999
2017-08-02,8,30,7376.513,6658.595,6300.953,5295731.459933997,7933882.322279996
2017-07-23,51,30,4617.282,6267.6616,6320.6035,7620268.020247201,7864715.702163001
2017-08-11,47,3,8792.0,8218.298,7898.08,5043987.983999994,7859344.640000001
2017-08-11,44,3,9517.0,9189.767,8693.954,3114276.4610000015,7832928.782000002
2017-08-07,44,12,8497.0,9493.112,9416.637,8463963.663999993,7814155.589000005
2017-08-11,28,12,5148.172,3547.9277,3641.9111,8238332.898419596,7754490.190074798
2017-08-02,41,3,4794.0,3303.9856,3182.8225,7143129.0336,7723984.934999999
2017-08-02,3,3,8217.0,9046.384,9156.926,6815048.328,7723371.941999996
2017-07-30,11,12,8906.852,8395.762,8040.132,4552202.988680001,7719746.765440011
2017-08-09,44,12,8062.0,8695.896,9019.162,5110469.552000005,7716640.044000003
2017-08-10,43,3,5230.0,3681.865,3755.3071,8096746.050000001,7712643.867
2017-07-25,31,3,4297.0,2237.2117,2504.7114,8850910.325100001,7701464.1142
2017-08-14,45,12,9665.0,9114.781,10461.13,5317866.634999991,7694596.449999992
2017-08-05,49,30,6922.8022,7846.84,8033.259,6396930.914723161,7687472.7780449595
2017-07-24,43,12,5847.266,4472.825,4538.9824,8036722.128305999,7649882.212637598
2017-07-28,40,12,5858.0,4569.737,4555.0493,7546644.653999999,7632685.200600002
2017-08-05,44,12,12463.0,12884.119,13073.101,5248406.0970000075,7603688.763000007
2017-07-30,51,30,6757.23,6003.65,5636.636,5092113.383399999,7572111.394619994
2017-07-22,25,3,4230.0,2384.0059,2444.7537,7808555.043,7551591.848999999
2017-08-05,44,30,10463.003,10700.903,11184.488,2489148.413699996,7548899.719454988
2017-07-30,51,3,7150.0,6335.4893,6095.129,5823751.504999999,7542327.65
2017-07-22,45,12,12276.0,12316.706,12889.413,499706.8560000016,7530257.9880000055
2017-08-12,20,3,6375.0,5076.7983,5200.583,8276035.837499998,7486908.375000003
2017-07-20,47,3,7622.0,6269.0747,6645.573,10311996.636599999,7442326.593999998
2017-07-24,11,12,6874.531,5528.5425,5793.948,9253039.668893503,7428501.331572997
2017-07-27,48,12,6437.0,5324.3633,5285.508,7162042.4379,7412154.004000002
2017-07-24,51,12,6409.0,5552.9927,5256.2905,5486150.785700002,7387715.1855
2017-07-25,17,12,5446.0,4178.2485,4091.9968,6904174.669000002,7373901.427200001
2017-07-22,41,3,4829.0,3265.4412,3304.0452,7550425.445199999,7364006.7292
2017-08-06,50,12,8360.0,9186.505,9236.452,6909581.799999993,7327138.719999994
2017-07-21,44,12,10264.0,9514.752,9550.704,7690281.471999995,7321270.144000003
2017-07-28,3,3,8848.0,7990.871,8023.3564,7583877.391999999,7296446.572800003
2017-07-22,43,3,6410.0,5806.4443,5272.1787,3868792.036999999,7293434.532999998
2017-08-11,52,3,5644.0,4536.909,4354.3877,6248421.604000002,7278571.821199999
2017-08-11,45,30,7112.925,6189.2505,6090.563,6570027.4429125,7271984.228850001
2017-07-30,27,3,6195.0,5312.869,5022.849,5464801.545000002,7261475.444999999
2017-08-13,48,12,9423.0,9071.906,10191.459,3308358.7619999917,7241189.157000007
2017-07-28,52,12,6782.0,5514.622,5726.2744,8595357.595999997,7159931.019199998
2017-07-31,20,7,4508.0,2573.245,2924.2432,8721875.540000001,7139575.6544
2017-08-01,9,12,9823.43,8080.3867,9103.045,17122663.844519004,7076651.620550002
2017-08-02,45,12,12494.0,11491.71,11928.36,12522611.260000011,7067106.159999993
2017-07-26,45,12,9472.0,8715.648,8726.813,7164166.144000007,7058411.263999999
2017-08-13,3,3,8423.0,9021.738,9260.183,5043170.173999995,7051592.409000007
2017-08-13,43,12,6367.102,4854.5444,5260.4297,9630608.5200752,7046295.414674601
2017-07-30,12,7,3355.0,1225.9147,1263.6167,7143081.181499999,7016590.9715
2017-07-31,49,30,8505.368,7155.9263,7686.0073,11477498.253045604,6968964.278237602
2017-08-06,46,12,14233.0,12519.217,14722.2,24392273.438999992,6962783.600000011
2017-07-30,21,3,5746.0,4752.508,4536.7466,5708605.0320000015,6948370.036399998
2017-08-01,31,12,6847.32,5405.066,5839.452,9875574.659279998,6901194.713759996
2017-07-28,49,3,7536.0,6644.34,6624.396,6719549.759999999,6869847.744000002
2017-07-23,52,12,8568.0,7585.6704,7766.492,8416600.0128,6867320.543999999
2017-07-23,3,30,9825.017,9147.199,9128.106,6659573.372905993,6847162.422487
2017-08-11,28,3,4471.0,3093.0637,2942.8896,6160753.197299999,6832181.5984000005
2017-08-11,45,3,8983.0,8773.942,8226.102,1877968.014000008,6799214.733999993
2017-07-19,44,3,9559.0,8512.464,8851.796,10003837.624,6760163.0359999975
2017-07-28,47,12,10003.0,9144.726,9327.935,8585314.821999995,6752675.195000005
2017-07-24,45,3,8926.0,8239.186,8175.745,6130501.764000002,6696776.130000001
2017-07-20,41,3,4108.0,2368.7705,2485.4912,7144754.785999999,6665266.150400001
2017-07-25,50,12,6585.0,5554.592,5574.6206,6785236.6800000025,6653348.3489999985
2017-07-31,3,3,7954.0,8678.601,8789.883,5763476.354000005,6648613.381999998
2017-08-13,45,12,12723.0,10817.453,12202.318,24244274.481000006,6624637.0860000085
2017-08-01,44,12,10941.0,10196.161,10336.591,8149283.498999999,6612838.868999996
2017-08-05,43,12,4592.297,6047.8486,6030.309,6684325.246025203,6603778.193564002
2017-07-26,49,30,10148.009,9227.839,9498.553,9337893.44153,6590685.333104001
2017-07-31,37,3,4522.0,2888.541,3069.7588,7386501.597999999,6567034.7064
2017-08-03,45,3,7093.0,7520.0796,8017.396,3029275.6028,6556740.827999998
2017-08-13,45,3,10671.0,10521.892,11285.116,1591131.468000002,6553231.836
2017-07-25,39,3,5071.0,3559.5757,3787.8164,7664432.6253,6507024.035599999
2017-07-23,43,3,5159.0,6666.998,6412.0464,7779761.681999998,6464466.377600001
2017-08-15,44,12,8123.0,7950.8433,8918.639,1398428.8740999964,6462975.596999994
2017-07-24,46,12,9023.0,7404.5664,8307.223,14603126.372800002,6458455.871
2017-07-30,46,3,11172.0,11263.025,10597.043,1016931.299999996,6423419.604000004
2017-07-21,44,3,9026.0,9481.807,9736.074,4114113.9820000064,6409127.924000004
2017-07-27,45,3,7308.0,6203.3076,6437.951,8073092.059199999,6358318.092
2017-07-22,46,3,9368.0,8317.182,8692.103,9844063.023999993,6331803.096000008
2017-08-11,50,12,6808.0,6258.7188,5881.437,3739506.409600002,6308040.904000001
2017-08-04,50,12,6040.0,7247.878,7083.1675,7295583.119999998,6300731.699999997
2017-08-10,39,12,5442.25,4254.0513,4284.541,6466474.375074999,6300541.805249999
2017-07-29,44,30,11811.585,11121.085,11278.493,8155899.442499999,6296661.470819985
2017-07-29,36,12,5377.586,4325.6343,4212.0083,5656960.734596203,6267994.321432199
2017-07-23,43,12,4909.383,6280.061,6184.654,6729183.271673999,6260793.767793003
2017-08-06,20,3,5797.0,6663.91,6875.876,5025477.27,6254244.172000001
2017-07-30,16,7,3087.0,1139.1119,1064.4589,6013130.5647,6243584.3757
2017-08-02,13,12,4387.0,3061.1335,2965.4355,5816576.3355,6236403.4615
2017-07-24,3,3,8633.0,7694.493,7910.6406,8102130.930999997,6236128.700200003
2017-07-22,49,12,7792.0,8252.847,8592.069,3590919.823999998,6234137.647999996
2017-07-22,11,3,3895.0,5444.2134,5492.0654,6034186.192999999,6220569.733000002
2017-08-15,40,12,4793.0,5723.0146,6085.9414,4457559.977800002,6197068.130199999
2017-08-10,44,3,7595.0,6560.7915,6779.072,7854813.557499998,6196973.159999999
2017-07-26,44,3,7453.0,8025.7163,8283.609,4268454.5839,6190528.877000003
2017-08-03,49,12,6277.0,7055.42,7259.5977,4886142.340000001,6167765.762900001
2017-07-30,43,12,6751.586,6687.411,5841.964,433283.03155000124,6141391.160492002
2017-08-02,52,12,7195.0,6436.098,6344.0576,5460299.890000001,6122530.567999999
2017-07-23,29,12,3712.125,5175.0073,5360.3525,5430401.9578875005,6118426.508437499
2017-08-02,44,30,14145.908,14089.428,13713.637,798960.8838399937,6114865.797067983
2017-08-12,45,30,6242.682,6546.726,7220.2915,1898050.0060079992,6102905.228679003
2017-08-05,3,3,10187.0,10462.018,10784.666,2801608.3660000004,6088423.541999992
2017-07-22,50,12,8404.0,7495.4824,7680.423,7635181.910400001,6080941.108000002
2017-07-24,28,3,4276.0,2960.897,2858.8125,5623380.428,6059893.75
2017-08-12,51,12,4249.0,5310.2485,5666.3223,4509244.876499998,6022202.452699999
2017-08-04,45,3,8534.0,9266.477,9238.994,6250958.718000007,6016418.796000005
2017-07-29,14,7,3409.0,1497.5708,1645.7429,6516062.1428000005,6010943.4539
2017-07-30,52,30,4699.616,6511.887,5977.1787,8516977.787935998,6004054.105923202
2017-08-04,3,3,7967.0,8952.783,8719.941,7853733.160999996,5998680.947000005
2017-07-23,51,12,5705.0,6544.5024,6756.374,4789361.192000002,5998088.669999999
2017-08-03,47,12,9898.0,9089.062,10499.369,8006868.324000001,5952350.362000006
2017-07-29,45,3,12346.0,12028.77,11864.866,3916521.5799999945,5940080.364
2017-08-15,45,12,9287.0,8468.582,8650.558,7600647.965999997,5910636.853999992
2017-07-21,3,3,7967.0,8384.344,8706.089,3324979.647999993,5888322.062999999
2017-08-13,21,12,6738.984,5439.268,5868.173,8758765.328544002,5868381.396024005
2017-08-06,50,3,5546.0,6155.804,6600.7896,3381972.9840000006,5849863.1216
2017-07-29,43,3,4993.0,6142.223,6159.737,5738070.439,5825517.841
2017-07-29,9,12,7861.719,7228.3677,7124.677,4979229.948884702,5794417.095198003
2017-08-06,31,3,5854.0,4679.8184,4865.327,6873659.086399999,5787691.741999999
2017-07-21,46,3,5505.0,6156.1943,6555.9756,3584824.621500001,5785620.677999998
2017-07-20,39,12,5306.867,4376.3296,4222.7617,4938238.220325801,5753202.641095101
2017-07-29,14,12,4736.0,3384.1387,3535.5203,6402415.1168,5685471.859199999
2017-07-22,46,12,12313.0,11459.042,11851.616,10514784.854000006,5681021.192
2017-07-29,50,3,7307.0,6596.966,6530.097,5188218.437999997,5676830.221000002
2017-07-24,49,3,7493.0,6486.0605,6735.839,7544997.673500003,5673407.373000001
2017-08-14,3,30,7941.873,6966.6157,7228.438,7745369.618922894,5666010.163754996
2017-07-30,28,3,5856.0,4972.6084,4889.712,5173141.2096,5658582.527999997
2017-07-19,3,12,8256.0,7660.0044,7571.01,4920539.673600001,5655277.439999999
2017-07-30,45,30,9001.436,8812.976,8373.286,1696410.6285599922,5654252.023399997
2017-08-10,50,12,5727.0,4945.444,4746.578,4475971.2119999975,5614876.793999998
